Palm Shadows, Landscapes, Watercolor on Paper, 10" x 8", 2016
To The Beach, Landscapes, Watercolor on Paper, 10" x 8", 2016
Chuckanut Bend, Landscapes, Oil on Canvas, , 2016
Woodlot Sunset, Landscapes, Oil on Canvas, , 2016
Bayview-Edison Flats, Landscapes, Oil on Wood, , 2016
The Scenic Route, Landscapes, Oil on Canvas, , 2016
Home Stretch, Landscapes, Oil on Canvas, , 2016
Skagit Sunset, Landscapes, Oil on Canvas , 36" x 34", 2015
Skagit Farmland, Landscapes, Oil on Canvas, 30" x 28", 2015
Edison Poplars, Landscapes, Oil on Canvas, 30" x 40", 2014
Share the Road, Landscapes, Oil on Canvas, 30" x 26", 2014
Rome Sunset, Landscapes, Watercolor on Paper, 10" x 30", 2015
View from Venice, Landscapes, Watercolor on Paper, 10" x 30", 2015
On Rocks, Undergraduate Thesis, Oil on Canvas, 18" x 18", 2016
Down the Barrel, Undergraduate Thesis, Oil on Canvas, 18" x 18", 2016
After Party, Undergraduate Thesis, Oil on Canvas, 20" x 18", 2016
Shots Fired, Undergraduate Thesis, Oil on Canvas, 18" x 30", 2016
Joel's Alley, Landscapes, Oil on Wood, 30" x 30", 2014
Samish River I, Landscapes, Oil on Wood, 24" x 28", 2015
Samish River I (Plein Air), Landscapes, Oil on Matboard, 9" x 9", 2015
Samish River II (Plein Air), Landscapes, Oil on Matboard, 9" x 6", 2015
Chuckanut Drive (Plein Air), Landscapes, Oil on Matboard, 9" x 6", 2015
Samish Overlook (Plein Air), Landscapes, Oil on Masonite, 12" x 19.5", 2015
Deception Pass (Plein Air), Landscapes, Oil on Masonite, 12" x 19.5", 2015
Samish River Bridge, Landscapes, Watercolor on Paper, 6" x 9", 2015
Bay View, Landscapes, Watercolor on Paper, 9" x 6", 2015
Sunglass Study, Miscellaneous, Charcoal on Paper, , 2012
Library Panorama, Miscellaneous, Graphite on Paper, , 2013
Four Brushes, Miscellaneous, Oil on Canvas, 16" x 10", 2013
Fork, Miscellaneous, Oil on Canvas, , 2013
Reclining Nude Study, Miscellaneous, Oil on Canvas, , 2014
The Magic in Change, Miscellaneous, Oil on Glass, 30" x 30", 2014
